"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
553,2010,97.5,TRUE,TRUE,1.43353013380246,0.561254776461016,2.60959643148684
555,2009,45.5,TRUE,TRUE,1.56641442629076,0.673588504914298,2.41192190074991
555,2010,97.5,TRUE,TRUE,1.56641442629076,0.673588504914298,2.41192190074991
556,2009,45.5,FALSE,FALSE,NA,NA,NA
556,2010,97.5,FALSE,FALSE,NA,NA,NA
557,2009,45.5,TRUE,TRUE,0.669054610477464,-0.0243744572722169,1.49465083757423
557,2010,97.5,TRUE,TRUE,1.81733264700986,0.741468907214538,2.9673464823391
559,2009,45.5,TRUE,TRUE,0.73720875188349,-0.386566518798474,1.72241778597546
559,2010,97.5,TRUE,TRUE,0.966774315418463,-0.161011162456187,2.10106641729696
560,2009,45.5,TRUE,TRUE,0.204293033244032,-0.278677427471083,1.18815130085104
560,2010,97.5,TRUE,TRUE,4.57398804175602,3.37040850115443,6.04570713722552
20,2009,32.5,TRUE,TRUE,2.76605709921052,2.31495593847078,3.21715825995025
20,2010,84.5,TRUE,TRUE,2.55552937984936,1.94999277777647,3.13786561887629
84,2009,32.5,TRUE,TRUE,2.35736232448951,1.85318415093613,2.82867376841131
84,2010,84.5,TRUE,TRUE,1.47049413985377,0.495952147870844,2.30640984377152
407,2009,32.5,TRUE,TRUE,2.38671165886951,1.94998451836883,2.83094193076005
407,2010,84.5,TRUE,TRUE,2.61441913373956,2.09015352665863,3.11204704169795
411,2009,32.5,TRUE,TRUE,0.949978208599849,4.93522471881733e-05,1.95004660531697
411,2010,84.5,TRUE,TRUE,4.99745084383512e-06,-0.788616678747887,0.95001032730343
420,2009,32.5,TRUE,TRUE,1.94999526938354,1.39721651506651,2.50277402370057
420,2010,84.5,TRUE,TRUE,2.44998333336867,1.8411350138862,3.05884754192897
421,2009,32.5,TRUE,TRUE,1.95318088786764,0.929567473602811,2.75682682799163
421,2010,84.5,TRUE,TRUE,2.0886726333895,0.919788286560964,3.4007251946761
423,2009,32.5,FALSE,FALSE,NA,NA,NA
423,2010,84.5,FALSE,FALSE,NA,NA,NA
424,2009,32.5,TRUE,TRUE,1.5094665978468,0.750231448848317,2.54430849106012
424,2010,84.5,TRUE,TRUE,2.29205283575748,1.34514549519103,3.47566543129264
426,2009,32.5,TRUE,TRUE,2.19157058030341,1.12031476759387,3.34501065551393
426,2010,84.5,TRUE,TRUE,2.38438132693193,0.827630243809602,4.23970080523309
428,2009,32.5,FALSE,FALSE,NA,NA,NA
428,2010,84.5,FALSE,FALSE,NA,NA,NA
431,2009,32.5,TRUE,TRUE,0.817855955203611,-0.788012760325775,1.73851646036019
431,2010,84.5,TRUE,TRUE,0.645484113894885,-0.104092026519601,1.68060969768577
433,2009,32.5,TRUE,TRUE,1.34000702741696,0.644794838388837,2.08148564287563
433,2010,84.5,TRUE,TRUE,1.55585616611605,0.821204724311102,2.26270361894912
446,2009,32.5,TRUE,TRUE,1.96758050645283,0.860698917913666,2.93177771175345
446,2010,84.5,TRUE,TRUE,1.02663019911856,0.0446841359945598,2.16945915098136
463,2009,32.5,TRUE,TRUE,1.9062435640132,1.1172370927247,2.71092792613664
463,2010,84.5,TRUE,TRUE,2.21764035447664,1.08191317492368,3.54870444785195
472,2009,32.5,TRUE,TRUE,2.2614358674927,1.88081044346504,2.64206129152037
472,2010,84.5,TRUE,TRUE,2.30600216918189,1.95001216642723,2.66199217193656
483,2009,32.5,TRUE,TRUE,0.476715711334974,-0.0615526794526426,1.60897864442721
483,2010,84.5,TRUE,TRUE,1.22936527773658,0.282111902745612,2.12757521715926
484,2009,32.5,TRUE,TRUE,1.52625618529512,0.430968939056534,2.8116616074752
484,2010,84.5,TRUE,TRUE,2.17695498577618,0.791744561754641,3.38745828221168
498,2009,32.5,TRUE,TRUE,1.44784482858832,0.842569977308404,2.05958690618537
498,2010,84.5,TRUE,TRUE,0.775253777512828,0.34670793281369,1.20379962221197
504,2009,32.5,TRUE,TRUE,2.21688950810362,0.60348496219461,3.23717370447053
504,2010,84.5,TRUE,TRUE,2.29230480690619,1.06612851571138,3.58721244740785
506,2009,32.5,TRUE,TRUE,1.13394283753052,0.68284164182241,1.58504403323863
506,2010,84.5,TRUE,TRUE,0.859282629175363,0.384287200792354,1.33427805755837
507,2009,32.5,TRUE,TRUE,1.2835720053388,0.790214173236175,1.80898820815736
507,2010,84.5,TRUE,TRUE,2.2829586110871,1.53917031018218,3.092365154696
508,2009,32.5,TRUE,TRUE,1.41834304208427,0.604248962929464,2.49461476574976
508,2010,84.5,TRUE,TRUE,1.18360298569772,0.299503283732446,2.21864068283398
510,2009,32.5,TRUE,TRUE,1.30600250920441,0.950012694407862,1.66199232400097
510,2010,84.5,TRUE,TRUE,1.94999526938354,1.39721651506651,2.50277402370057
512,2009,32.5,TRUE,TRUE,1.45774998697011,-0.497623765840869,3.43965784778132
512,2010,84.5,TRUE,TRUE,1.9195215084136,0.280051346887973,3.01006587509292
516,2009,32.5,TRUE,TRUE,1.17073068502534,0.357717751113615,1.8267007071623
516,2010,84.5,TRUE,TRUE,0.866629389707241,0.145352920312486,1.72693806268402
518,2009,32.5,TRUE,TRUE,1.44781654123507,0.720650271696055,2.18457318515447
518,2010,84.5,TRUE,TRUE,1.58226034928734,0.586146339599487,2.8964690688156
520,2009,32.5,TRUE,TRUE,1.68124698624037,1.27702727587992,2.08546669660082
520,2010,84.5,TRUE,TRUE,1.7660570967534,1.31495593737191,2.21715825613488
523,2009,32.5,FALSE,FALSE,NA,NA,NA
523,2010,84.5,FALSE,FALSE,NA,NA,NA
524,2009,32.5,TRUE,TRUE,1.14669034916451,-0.466552707756625,2.5685623700503
524,2010,84.5,TRUE,TRUE,1.46337144695334,0.0759908981470439,2.77969584336623
526,2009,32.5,TRUE,TRUE,1.31216828250381,0.519253515716388,2.32725480504022
526,2010,84.5,TRUE,TRUE,1.53509862158521,0.8193517862522,2.34740983552159
527,2009,32.5,TRUE,TRUE,1.39390931070228,0.853445387815802,1.94994933081639
527,2010,84.5,TRUE,TRUE,1.44784482858832,0.842569977308404,2.05958690618537
528,2009,32.5,TRUE,TRUE,1.21877189517797,0.814562622113804,1.62298116824213
528,2010,84.5,TRUE,TRUE,0.950006476664599,0.424860595637085,1.47515235769211
